IP地址,端口号,TLS,网络延迟,下载速度,出站IP,IP类型,数据中心,源IP位置,地区,城市,ASN号码,ASN组织
144.225.130.45,443,true,152ms,未测速,2602:f873:11:603:0:1:8d5b:8a24,IPv6,LAS,US,North America,Las Vegas,AS7488,CNServer LLC
142.248.219.40,2053,true,153ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
149.248.10.46,443,true,155ms,未测速,2001:19f0:6001:5daf:5400:6ff:fe25:dc44,IPv6,SJC,US,North America,San Jose,AS20473,"The Constant Company, LLC"
142.248.219.60,2053,true,156ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
142.248.218.57,2053,true,156ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.219.8,443,true,159ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.41,2053,true,161ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
113.20.0.14,443,true,162ms,未测速,2607:f130:0:157:216:3eff:fe97:282b,IPv6,LAS,US,North America,Las Vegas,AS35916,MULTACOM CORPORATION
142.248.219.5,443,true,163ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.81,2053,true,166ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.219.4,443,true,172ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
142.248.219.212,2053,true,179ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
124.156.157.6,8443,true,188ms,未测速,2603:c024:c006:b800:81e4:23d6:669f:9448,IPv6,SJC,US,North America,San Jose,AS31898,Oracle Corporation
207.58.174.167,2053,true,225ms,未测速,2604:9a00:1:107:1c00:33ff:fe00:46d,IPv6,IAD,US,North America,Ashburn,AS30633,"Leaseweb USA, Inc."
40.160.252.64,443,true,250ms,未测速,2604:2dc0:303::4:0:10f,IPv6,EWR,US,North America,Newark,AS16276,OVH SAS
107.170.235.229,443,true,140ms,未测速,2604:a880:1:4a::14a1:1000,IPv6,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC"
142.248.219.252,2053,true,146ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,SJC,US,North America,San Jose,AS33039,Unify Media Ltd
142.248.218.165,2053,true,152ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
142.248.218.33,2053,true,166ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd
203.88.113.16,443,true,168ms,未测速,2607:f130:0:169:216:3eff:fe26:ef39,IPv6,LAS,US,North America,Las Vegas,AS35916,MULTACOM CORPORATION
141.148.187.195,443,true,174ms,未测速,141.148.187.195,IPv4,LAX,US,North America,Los Angeles,AS31898,Oracle Corporation
